model,rmse,mae,r2
LinearRegression,0.7543373063311434,0.5862665383250466,0.26527500421791583
RandomForest,0.590000691801739,0.41881632653061224,0.5505320971653823
RandomForest_GridSearch,0.5875848397274652,0.4170153061224489,0.5542053975240789
XGBoost_默认,0.5927,0.4175,0.4625
XGBoost_调优,0.5845,0.4673,0.4773
XGBoost_超强正则化,0.743878015352143,0.5884653329849243,0.285508394241333
XGBoost_中等正则化,0.6527313177561089,0.5108510851860046,0.4498734474182129
XGBoost_网格搜索,0.6331257221560488,0.48704099655151367,0.48242461681365967
原始集成,0.63791502901788,0.4941702241411015,0.47456462305835123
改进集成,0.6085523620142453,0.46129941943227026,0.5218220490727157
加权集成,0.5978490335602318,0.4435006298123573,0.5384946872583118
三模型集成,0.6258606347046062,0.48394505344442773,0.49423483427950443
